pair_id,para_id,sent_id,complex,label,simple,simp_sent_id,doc_pos,doc_quint,doc_len
CD000081,2,8,"There is probably little or no difference for long-term (six months or more) dyspareunia (RR1.14, 95% CI 0.84 to 1.53, three trials, 1107 participants, moderate-certainty evidence); and there may be little or no difference for long-term (six months or more) urinary incontinence (average RR 0.98, 95% CI 0.67 to 1.44, three trials, 1107 participants, low-certainty evidence).",rephrase,"['There may be little or no difference in the number of women developing perineal infection (two trials, low-certainty evidence); and there is probably little or no difference in women reporting painful sexual intercourse six months or more after delivery (three trials, 1107 women, moderate-certainty evidence); for urinary incontinence six months or more after delivery, there may be little or no difference between the groups.']",5,0.45,3,20
CD000081,2,11,"Other outcomes relating to long-term effects were not reported (urinary fistula, rectal fistula, and faecal incontinence).",rephrase,"['Other important outcomes relating to long-term effects were not reported in these trials (urinary fistula, rectal fistula, and faecal incontinence).']",7,0.6,3,20
CD000081,5,17,The review thus demonstrates that believing that routine episiotomy reduces perineal/vaginal trauma is not justified by current evidence.,rephrase,"['Thus the rationale for conducting routine episiotomies to prevent severe perineal trauma is not justified by current evidence, and we could not identify any benefits of routine episiotomy for the baby or the mother.']",11,0.9,5,20
CD000081,5,18,Further research in women where instrumental delivery is intended may help clarify if routine episiotomy is useful in this particular group.,rephrase,['More research is needed in order to inform policy in women where an instrumental birth is planned and episiotomy is often advocated.'],12,0.95,5,20
CD000081,5,19,"These trials should use better, standardised outcome assessment methods.",rephrase,['Outcomes could be better standardised and measured.'],13,1.0,5,20
CD000188,0,0,"Four trials appeared to meet the inclusion criteria, but one was excluded because of poor methodology.",rephrase,"['Although four randomised controlled trials met the inclusion criteria, one was excluded because of poor methodology.']",0,0.125,1,8
CD000188,0,1,The three remaining trials compared testosterone treatment with placebo in a total of 109 subjects with intermittent claudication or critical leg ischaemia.,rephrase,"['The three remaining trials compared testosterone treatment with placebo in a total of 109 middle-aged to elderly people, predominantly men.']",1,0.25,2,8
CD000188,0,3,No trials were available which investigated the potentially beneficial effects of oestrogenic hormones in women with lower limb atherosclerosis.,rephrase,['No trials investigated oestrogens in women with lower limb atherosclerosis.'],2,0.5,3,8
CD000188,1,4,"Testosterone therapy produced no significant improvement in tests of walking distance or in a variety of other objective tests for peripheral arterial disease, including venous filling time, muscle blood flow and plethysmography.",rephrase,"['Testosterone did not provide any clear improvement in the symptoms reported by the participants, walking distance or other objective tests for peripheral arterial disease including leg muscle blood flow.']",3,0.625,4,8
CD000230,0,0,"For this update, we included 25 randomised controlled trials (RCTs) involving over 18,000 women and their babies.",rephrase,"['This updated review now includes\xa025\xa0randomised controlled trials, involving over 18,000 women and their babies.']",0,0.1111111111111111,1,9
CD000230,0,2,"The evidence suggests that zinc supplementation may result in little or no difference in reducing preterm births (risk ratio (RR) 0.87, 95% confidence interval (CI) 0.74 to 1.03; 21 studies, 9851 participants; low-certainty evidence).",rephrase,"['We found that zinc supplementation in pregnancy may make little to no difference in reducing the risk of preterm births, stillbirths, or deaths around the time of birth, when compared to no zinc supplementation or placebo.']",1,0.3333333333333333,2,9
CD000230,0,3,"Further, zinc supplementation may make little or no difference in reducing the risk of stillbirth (RR 1.22, 95% CI 0.80 to 1.88; 7 studies, 3295 participants; low-certainty evidence), or perinatal deaths (RR 1.10, 95% CI 0.81 to 1.51; 2 studies, 2489 participants; low-certainty evidence).",rephrase,"['Zinc supplementation may make little or no difference to the birthweight of babies, and probably makes little or no difference to the number of babies born either with a low birthweight or small for their gestational age, when compared with no zinc supplementation, or with giving a placebo.']",2,0.4444444444444444,3,9
CD000230,0,4,"It is unclear whether zinc supplementation reduces neonatal death, because the certainty of the evidence is very low.",rephrase,"['We cannot be sure whether zinc supplementation reduces death in newborns, because the certainty of the evidence is very low.']",3,0.5555555555555556,3,9
CD000230,1,7,There is not enough evidence that zinc supplementation during pregnancy results in improvements in maternal or neonatal outcomes.,rephrase,['There is not enough evidence that zinc supplementation during pregnancy results in better outcomes for women and their babies.'],4,0.8888888888888888,5,9
CD000280,0,0,"One unblinded, quasi-randomised controlled trial (RCT) assessing effects of carbohydrate supplementation of human milk in the form of a prebiotic in 75 preterm infants was eligible for inclusion in this review.",rephrase,['We found one trial involving 75 preterm infants with very low-quality evidence on the effects of adding extra prebiotics (a type of carbohydrate) to human milk in preterm infants.'],0,0.0909090909090909,1,11
CD000280,0,1,"We identified two publications of the same trial, which reported different methods regarding blinding and randomisation.",rephrase,['A second publication by the same study authors reported different methods regarding blinding and randomisation of the trial.'],1,0.1818181818181818,1,11
CD000280,0,2,"Study authors confirmed that these publications pertain to the same trial, but they have not yet clarified which method is correct.",rephrase,['Study authors confirmed that these publications describe the same trial but have not yet clarified which method is accurate.'],2,0.2727272727272727,2,11
CD000280,0,3,"Our analyses showed very low certainty evidence of an effect of carbohydrate supplementation on weight by 30 days of age age (MD 160.4 grams, 95% CI 12.4 to 308.4 grams), and no effect on risk of feeding intolerance (RR 0.64, 95% CI 0.36 to 1.15) or necrotising enterocolitis (NEC) (RR 0.2, 95% CI 0.02 to 1.3).",rephrase,['No evidence shows a clear difference in risk of feeding intolerance or necrotising enterocolitis between the prebiotic-supplemented and unsupplemented groups.'],3,0.3636363636363636,2,11
CD000280,0,4,Duration of hospital stay was shorter in the prebiotic group than in the control group (median difference 9 days).,rephrase,['Prebiotic carbohydrate supplementation increased the mean weight of preterm infants at day 30 and resulted in a shorter hospital stay compared with control.'],4,0.4545454545454545,3,11
CD000280,0,5,No data were available for assessing effects of carbohydrate supplementation on long-term growth and neurodevelopment.,rephrase,"['No other data were available to show the effects of adding extra carbohydrate to human milk on short- and long-term growth, body fat, obesity, brain development, and heart problems.']",5,0.5454545454545454,3,11
CD000280,1,6,We are uncertain whether carbohydrate supplementation of human milk affects any outcomes in preterm infants.,rephrase,['Evidence on the short- and long-term effects of adding extra carbohydrate to human milk in preterm infants is lacking.'],6,0.6363636363636364,4,11
CD000280,1,7,"The only trial included in this review presented very low-quality evidence, and study authors provided uncertain information about study methods and analysis.",rephrase,"['This systematic review found very low-quality evidence on the effects of adding prebiotic carbohydrate to human milk in preterm infants, along with uncertainties about methods and analysis.']",7,0.7272727272727273,4,11
CD000280,1,8,The evidence may be limited in its applicability because researchers included a small sample of preterm infants from a single centre.,rephrase,"['The single trial included a small sample of Iranian preterm infants, and so the evidence may be considered as not generalisable.']",8,0.8181818181818182,5,11
CD000280,1,10,"However, we do not envisage that further trials of digestible carbohydrates will be conducted, as this is currently done as a component of multi-nutrient human milk fortification.",rephrase,"['Currently, digestible carbohydrate supplementation in preterm infants is provided as a component of multi-nutrient human milk fortification.']",11,1.0,5,11
CD000341,0,0,One randomised trial involving 14 preterm infants was included.,rephrase,['We included one trial with very low-quality evidence and involving 14 preterm infants.'],0,0.1428571428571428,1,7
CD000341,0,3,No data were available regarding the effects of fat supplementation on the risk of necrotising enterocolitis or neurodevelopmental outcomes.,rephrase,"['No data were available regarding the effects of addition of extra fat on long-term growth, body fat, obesity, high blood sugar, or brain development.']",1,0.5714285714285714,3,7
CD000341,1,5,"However, the very low-quality evidence, small sample size, few events, and low precision diminishes our confidence that these results reflect the true effect of fat supplementation of human milk in preterm infants, and no long-term outcomes were reported.",rephrase,"['There was insufficient high-quality evidence on the benefits and harms of the addition of extra fat to human milk in preterm infants, and no long-term outcomes have been reported.']",4,0.8571428571428571,5,7
CD000380,0,0,Twenty trials were included.,rephrase,['Twenty trials were included.'],0,0.0909090909090909,1,11
CD000380,0,1,These involved a total of 2562 mostly young active adult males.,rephrase,['These involved a total of 2562 mostly young active adult males.'],1,0.1818181818181818,1,11
CD000380,0,2,All trials had methodological weaknesses.,rephrase,['All trials had methodological flaws that could have affected their results.'],2,0.2727272727272727,2,11
CD000380,0,4,Data for pooling individual outcomes were only available for a maximum of 12 trials and under 60% of participants.,rephrase,['Data for pooling individual outcomes were only available for a maximum of 12 trials.'],3,0.4545454545454545,3,11
CD000380,1,5,"The findings of statistically significant differences in favour of the surgical treatment group for the four primary outcomes (non-return to pre-injury level of sports; ankle sprain recurrence; long-term pain; subjective or functional instability) when using the fixed-effect model were not robust when using the random-effects model, nor on the removal of one low quality (quasi-randomised) trial that had more extreme results.",rephrase,"['When this trial was excluded, the findings of better results for surgery in terms of return to sports, re-injury, persistent pain and ankle instability as judged by the patient were no longer statistically significant.']",4,0.5454545454545454,3,11
CD000380,2,8,"There was some limited evidence for longer recovery times, and higher incidences of ankle stiffness, impaired ankle mobility and complications in the surgical treatment group.",rephrase,"['Conversely, there was some limited evidence for longer recovery times, and higher incidences of ankle stiffness, impaired ankle mobility and complications in the surgical treatment group.']",5,0.8181818181818182,5,11
CD000398,0,0,"We included five completed trials, involving 4197 participants; all tested transdermal glyceryl trinitrate (GTN), an NO donor.",rephrase,"['We included five trials involving 4197 people; all trials assessed glyceryl trinitrate, a drug that is given as a skin patch and which releases nitric oxide.']",0,0.1,1,10
CD000398,0,3,"Overall, GTN did not improve the primary outcome of death or dependency at the end of trial (modified Rankin Scale (mRS) > 2, OR 0.97, 95% CI 0.86 to 1.10, 4195 participants, high-quality evidence).",rephrase,"['Overall, glyceryl trinitrate did not improve the rate of death or dependency compared with those who did not receive glyceryl trinitrate after acute stroke.']",1,0.4,2,10
CD000398,0,4,"GTN did not improve secondary outcomes, including death (OR 0.78, 95% CI 0.40 to 1.50) and quality of life (MD -0.01, 95% CI -0.17 to 0.15) at the end of trial overall (high-quality evidence).",rephrase,['Glyceryl trinitrate did not improve other outcomes including death and quality of life.'],2,0.5,3,10
CD000398,0,7,"We did not find any trials assessing other nitrates, L-arginine, or NOS-I.",rephrase,"['We did not find any trials assessing other nitrate drugs, L-arginine, or nitric oxide synthase inhibitors.']",3,0.8,4,10
CD000398,1,8,"There is currently insufficient evidence to recommend the use of NO donors, L-arginine or NOS-I in acute stroke, and only one drug (GTN) has been assessed.",rephrase,['There is currently insufficient evidence to recommend the use of drugs affecting nitric oxide production in acute stroke.'],4,0.9,5,10
CD000398,1,9,"In people with acute stroke, GTN reduces blood pressure, increases heart rate and headache, but does not alter clinical outcome (all based on high-quality evidence).",rephrase,"['Glyceryl trinitrate lowers blood pressure, and increases heart rate and headache in people with acute stroke.']",5,1.0,5,10
CD000433,0,0,"We included six RCTs, involving 204 preterm infants.",rephrase,"['We found six randomised trials (trials in which each infant had an equal chance of being chosen to receive either treatment), involving 204 preterm infants.']",0,0.0909090909090909,1,11
CD000433,0,4,"Very low quality evidence means that the effect of protein supplementation on the risk of feeding intolerance (RR 2.70, 95% CI 0.13 to 58.24; one RCT, 17 infants), or necrotizing enterocolitis (RR 1.11, 95% CI 0.07 to 17.12; one RCT, 76 infants) remains uncertain.",rephrase,"['Very low-quality evidence from one trial suggested that adding extra protein to expressed breast milk did not clearly increase the risk of necrotising enterocolitis (inflammation of the intestine) or feeding intolerance, or clearly alter serum albumin concentrations (a measure of blood protein levels).']",1,0.4545454545454545,3,11
CD000433,0,5,No data were available about the effects of protein supplementation on neurodevelopmental outcomes.,rephrase,"['No data were available on the effects of adding extra protein to human milk on long-term growth, body fat, obesity, high blood sugar, or brain development.']",2,0.5454545454545454,3,11
CD000433,1,7,"However, the small sample sizes, low precision, and very low-quality evidence regarding duration of hospital stay, feeding intolerance, and necrotising enterocolitis precluded any conclusions about these outcomes.",rephrase,"['However, its effect on length of hospital stay, feeding intolerance, and necrotizing enterocolitis is uncertain, due to data limitations and very low-quality evidence.']",6,0.7272727272727273,4,11
CD000433,2,10,"Since protein supplementation of human milk is now usually done as a component of multi-nutrient fortifiers, future studies should compare different amounts of protein in multi-component fortifiers, and be designed to determine the effects on duration of hospital stay and safety, as well as on long-term growth, body composition, cardio-metabolic, and neurodevelopmental outcomes.",rephrase,"['Since protein supplementation of human milk is now usually done as a component of multi-nutrient fortifiers, future studies should compare different amounts of protein in multi-component fortifiers, and be designed to determine the effects on length of hospital stay, safety, long-term growth, body fat, obesity, high blood sugar, and brain development.']",8,1.0,5,11
CD000437,0,1,Keszler 1991 randomly assigned 166 preterm infants; reported data on 144 infants; and permitted cross-over to the alternate treatment if initial treatment failed.,rephrase,['One study randomly assigned 166 preterm infants and reported data on 144 infants.'],0,0.2,1,10
CD000437,0,2,"Investigators found no statistically significant differences in overall mortality (including survival after cross-over) between the two groups (RR 1.07, 95% confidence interval (CI) 0.67 to 1.72).",rephrase,['Investigators found no statistically significant differences in overall mortality (including survival after cross-over) between the two groups.'],1,0.3,2,10
CD000437,0,3,"In a secondary analysis of infants up to the time of cross-over, rescue treatment with HFJV was associated with lower mortality (RR 0.66, 95% CI 0.45 to 0.97).",rephrase,"['In a secondary analysis, researchers showed that rescue treatment with HFJV, up to the time of cross-over, was associated with lower mortality.']",2,0.4,2,10
CD000437,0,4,"Researchers reported no significant differences in the incidence of CLD among survivors at 28 days of age, nor in the incidence of intraventricular haemorrhage, new air leaks, airway obstruction and necrotising tracheobronchitis.",rephrase,"['Researchers reported no differences in the incidence of chronic lung disease among survivors at 28 days of age, and they found no differences in intraventricular haemorrhage, new air leaks, airway obstruction and necrotising tracheobronchitis.']",3,0.5,3,10
CD000437,2,7,Existing evidence does not support the use of high-frequency jet ventilation as rescue therapy in preterm infants.,rephrase,['Existing evidence does not support the use of rescue high-frequency jet ventilation compared with conventional mechanical ventilation for treatment of preterm infants with severe pulmonary problems.'],4,0.8,4,10
CD000437,3,8,Studies that target populations at greatest risk and that have sufficient power to assess important outcomes are needed.,rephrase,['Additional research is needed.'],5,0.9,5,10
CD000490,0,0,"We included 15 studies, involving over 2000 women.",rephrase,"['We found 15 randomised controlled studies involving over 2000 pregnant women with urinary infections, but no symptoms.']",0,0.0909090909090909,1,11
CD000490,0,1,"Antibiotic treatment compared with placebo or no treatment may reduce the incidence of pyelonephritis (average risk ratio (RR) 0.24, 95% confidence interval (CI) 0.13 to 0.41; 12 studies, 2017 women; low-certainty evidence).",rephrase,"['Antibiotics may be effective in reducing the incidence of kidney infection in the mother (12 studies, 2017 women) and clearing the infection from the urine (four studies, 596 women).']",1,0.1818181818181818,1,11
CD000490,0,2,"Antibiotic treatment may be associated with a reduction in the incidence of preterm birth (RR 0.34, 95% CI 0.13 to 0.88; 3 studies, 327 women; low-certainty evidence), and low birthweight babies (average RR 0.64, 95% CI 0.45 to 0.93; 6 studies, 1437 babies; low-certainty evidence).",rephrase,"['They may also reduce the incidence of preterm births (three studies, 327 women) and low birthweight babies (six studies, 1437 babies).']",2,0.2727272727272727,2,11
CD000490,1,7,"We assessed the quality of the evidence for the three primary outcomes with GRADE software, and found low-certainty evidence for pyelonephritis, preterm birth, and birthweight less than 2500 g.",rephrase,"['We assessed the three main outcomes with the GRADE approach, and found low-certainty evidence that antibiotic treatment may prevent pyelonephritis, preterm birth, and birthweight less than 2500 g.']",3,0.7272727272727273,4,11
CD000490,2,8,"Antibiotic treatment may be effective in reducing the risk of pyelonephritis in pregnancy, but our confidence in the effect estimate is limited given the low certainty of the evidence.",rephrase,['Antibiotic treatment may reduce the risk of kidney infections in pregnant women who have a urine infection but show no symptoms of infection.'],4,0.8181818181818182,5,11
CD000491,0,0,"We included 13 studies, involving 1622 women.",rephrase,"['The review of 13 studies, involving over 1622 women, found that a seven-day regimen is more effective than a one-day course, especially for the outcome of low birthweight (high quality evidence), but this result is based on just one study.']",0,0.0833333333333333,1,12
CD000491,0,2,"The risk of bias of trials included in this review was largely unclear, and most trials were at high risk of performance bias.",rephrase,"['In general, the risk of bias of trials included in this review was largely unclear.']",1,0.25,2,12
CD000491,0,3,The quality of the evidence was assessed using the GRADE approach.,rephrase,['The overall quality of the evidence was assessed using the GRADE approach.'],2,0.3333333333333333,2,12
CD000491,0,8,"Finally, single-dose treatment of any microbial agent was associated with a decrease in reports of 'any side effects' (RR 0.70, 95% CI 0.56 to 0.88; 1460 women, studies = 12; I² = 9%; low quality evidence).",rephrase,['Women with a single-dose regimen reported fewer side effects (low quality evidence).'],4,0.75,4,12
CD000491,1,10,"A single-dose regimen of antibiotics may be less effective than a short-course (four- to seven-day) regimen, but more evidence is needed from large trials measuring important outcomes, such as cure rate.",rephrase,['More trials are needed to confirm which length of treatment is best for women and babies.'],5,0.9166666666666666,5,12
CD000501,0,2,"Compared to the control group, vitamin A appeared to have a small benefit in reducing the risk of death or oxygen requirement at one month of age (typical RR 0.93, 95% CI 0.88 to 0.99; typical RD −0.05, 95% CI −0.10 to −0.01; NNTB 20, 95% CI 10 to 100; 6 studies, 1165 infants) and the risk of chronic lung disease (oxygen requirement) at 36 weeks' postmenstrual age (typical RR 0.87, 95% CI 0.77 to 0.99; typical RD −0.07, 95% CI −0.13 to −0.01; NNTB 11, 95% CI 6 to 100; 5 studies, 986 infants) (moderate-quality evidence).",rephrase,"[""Compared to the control group, supplementing very low birth weight infants with vitamin A appears to have a small benefit in reducing the risk of death or oxygen requirement at one month of age and the risk of chronic lung disease (oxygen requirement) at 36 weeks' postmenstrual age (moderate-quality evidence).""]",1,0.3333333333333333,2,9
CD000501,0,4,"Neurodevelopmental assessment of 88% of the surviving infants in the largest trial showed no difference between the groups at 18 to 22 months of age, corrected for prematurity (low-quality evidence).",rephrase,['The one trial that investigated neurodevelopmental status at 18 to 22 months of age correcting for prematurity found no evidence of benefit or harm associated with vitamin A supplementation compared to control (low-quality evidence).'],4,0.5555555555555556,3,9
CD000501,0,6,"No adverse effects of vitamin A supplementation were reported, but it was noted that intramuscular injections of vitamin A were painful.",rephrase,"['No adverse effects of vitamin A supplementation were reported, but it was noted that intramuscular injections of vitamin A were painful.']",5,0.7777777777777778,4,9
CD000501,1,7,Whether clinicians decide to utilise repeat intramuscular doses of vitamin A to prevent chronic lung disease may depend upon the local incidence of this outcome and the value attached to achieving a modest reduction in the outcome balanced against the lack of other proven benefits and the acceptability of the treatment.,rephrase,['Whether clinicians decide to utilise repeat intramuscular doses of vitamin A to prevent chronic lung disease may depend upon the local incidence of this outcome and the value attached to achieving a modest reduction in the outcome balanced against the lack of other proven benefits and the acceptability of the treatment.'],6,0.8888888888888888,5,9
CD000501,1,8,Information on long-term neurodevelopmental status suggests no evidence of either benefit or harm from the intervention.,rephrase,['Information on long-term neurodevelopmental status suggests no evidence of either benefit or harm from the intervention.'],7,1.0,5,9
CD000523,1,1,"Four trials, involving a total of 237 participants, were included.",rephrase,"['Four trials, involving a total of 237 participants, were included in the review.']",0,0.1428571428571428,1,14
CD000523,1,2,All four trials were methodologically flawed and potentially biased.,rephrase,['These trials had methodological weaknesses that could have resulted in serious bias.'],1,0.2142857142857142,2,14
CD000523,2,5,Patient satisfaction and return to work during treatment were significantly better in the brace group.,rephrase,"['However, significantly more people in the brace group were satisfied with their treatment and significantly more returned to work during their treatment.']",4,0.4285714285714285,3,14
CD000523,2,7,One trial compared Ace Wrap elastic bandage versus short arm plaster cast versus long arm plaster cast.,rephrase,"['One trial compared Ace Wrap elastic bandage, short arm plaster cast and long arm plaster cast.']",5,0.5714285714285714,3,14
CD000523,2,8,The large loss to follow-up in this trial makes any data analysis tentative.,rephrase,['The large loss to follow-up in this trial makes any findings tentative.'],6,0.6428571428571429,4,14
CD000523,2,9,"However, the need for replacement of the Ace wrap by other methods due to pain indicates the potential for a serious problem with this intervention.",rephrase,"['However, the need for replacement of the Ace wrap by other methods due to pain does indicate the potential for a serious problem with this intervention.']",7,0.7142857142857143,4,14
CD000523,2,10,"The other trial, which compared immediate mobilisation versus short arm plaster cast versus long arm plaster cast for minimally displaced fractures, found no significant differences in outcome between these three interventions.",rephrase,"['The third trial, which compared immediate mobilisation versus short arm plaster cast versus long arm plaster cast for minimally displaced fractures, found no clear differences in outcome between these three interventions.']",8,0.7857142857142857,4,14
CD000523,3,11,"The fourth trial, which compared two types of plates for surgical fixation, found no significant differences in functional or anatomical outcomes nor complications between the two groups.",rephrase,['The fourth trial found no significant differences in functional or anatomical outcomes nor complications between the two types of plates used for surgical fixation of the fracture.'],9,0.8571428571428571,5,14
CD000523,4,12,There is insufficient evidence from randomised trials to determine which method of treatment is the most appropriate for isolated fractures of the ulnar shaft in adults.,rephrase,"['Overall, there was not enough evidence from randomised controlled trials to show which methods of treatment are better for these injuries.']",10,0.9285714285714286,5,14
CD000530,0,0,Twenty-four double-blind trials with 4631 participants including a total of 33 comparisons of Echinacea preparations and placebo met the inclusion criteria.,rephrase,['We reviewed 24 controlled clinical trials with 4631 participants investigating the effectiveness of several different Echinacea preparations for preventing and treating common colds or induced rhinovirus infections.'],0,0.0833333333333333,1,12
CD000530,0,1,A variety of different Echinacea preparations based on different species and parts of plant were used.,rephrase,"['Our review shows that a variety of products prepared from different Echinacea species, different plant parts and in a different form have been compared to placebo in randomized trials.']",1,0.1666666666666666,1,12
CD000530,2,8,"Of the six treatment trials reporting data on the duration of colds, only two showed a significant effect of Echinacea over placebo.",rephrase,"['The majority of trials investigated whether taking Echinacea preparations after the onset of cold symptoms shortens the duration, compared with placebo.']",5,0.75,4,12
CD000530,2,9,The number of patients dropping out or reporting adverse effects did not differ significantly between treatment and control groups in prevention and treatment trials.,rephrase,['The number of patients dropping out or reporting adverse effects did not differ significantly between treatment and control groups in prevention and treatment trials.'],6,0.8333333333333334,5,12
CD000530,2,10,"However, in prevention trials there was a trend towards a larger number of patients dropping out due to adverse events in the treatment groups.",rephrase,"['However, in prevention trials there was a trend towards a larger number of patients dropping out due to adverse events in the treatment groups.']",7,0.9166666666666666,5,12
CD000530,3,11,"Echinacea products have not here been shown to provide benefits for treating colds, although, it is possible there is a weak benefit from some Echinacea products: the results of individual prophylaxis trials consistently show positive (if non-significant) trends, although potential effects are of questionable clinical relevance.",rephrase,"['Although it seems possible that some Echinacea products are more effective than a placebo for treating colds, the overall evidence for clinically relevant treatment effects is weak.']",8,1.0,5,12
CD000934,0,0,"We included seven trials (more than 60,000 women): four in high-income countries with individual randomisation; three in low- and middle-income countries with cluster randomisation (clinics as the unit of randomisation).",rephrase,"['We included seven randomised controlled trials involving more than 60,000 women.']",0,0.0555555555555555,1,18
CD000934,0,4,"For primary outcomes, evidence was graded as being of moderate or low quality, with downgrading decisions due to risks of bias and imprecision of effects.",rephrase,['We assessed studies for risk of bias and graded the quality of the evidence.'],1,0.2777777777777778,2,18
CD000934,1,5,"The number of visits for standard care varied, with fewer visits in low- and middle- income country trials.",rephrase,['The trials were carried out in both high-income (four trials) and low- and middle-income countries (three trials).'],2,0.3333333333333333,2,18
CD000934,1,6,"In studies in high-income countries, women in the reduced visits groups, on average, attended between 8.2 and 12 times.",rephrase,['In high-income countries the number of visits was reduced to around eight.'],3,0.3888888888888889,2,18
CD000934,1,7,"In low- and middle- income country trials, many women in the reduced visits group attended on fewer than five occasions, although in these trials the content as well as the number of visits was changed, so as to be more 'goal-oriented'.",rephrase,"['In lower-income countries many women in the reduced visits group attended for care on fewer than five occasions, although the content of visits was altered so as to focus on specific goals.']",4,0.4444444444444444,3,18
CD000934,4,12,There were no clear differences between the groups for the other secondary clinical outcomes.,rephrase,['There was no clear difference between groups for our other primary outcomes including maternal death and hypertensive disorders of pregnancy (including pre-eclampsia).'],7,0.7222222222222222,4,18
CD000934,5,13,Women in all settings were less satisfied with the reduced visits schedule and perceived the gap between visits as too long.,rephrase,['There was evidence that women in all settings were less satisfied with the reduced schedule of visits; for some women the gap between visits was perceived as too long.'],8,0.7777777777777778,4,18
CD000934,5,14,Reduced visits may be associated with lower costs.,rephrase,['Reduced visits may be associated with lower costs.'],9,0.8333333333333334,5,18
CD000974,0,0,"Sixteen trials, involving over one million adults, children and infants, fulfilled the inclusion criteria.",rephrase,"['Sixteen trials, involving over one million adults, children, and infants, were included.']",0,0.1,1,10
CD000974,0,2,"Compared to placebo, vaccinees had a reduced risk of death from cholera (RR 0.49, 95% CI 0.25 to 0.93; 837,442 participants) and a reduced risk of contracting cholera at 12 months (RR 0.52, 95% CI 0.42 to 0.65, random-effects model; 1,512,573 participants).",rephrase,['Injected cholera vaccines reduced the risk of death from cholera and the risk of contracting cholera at 12 months.'],1,0.3,2,10
CD000974,0,6,"Injected cholera vaccines were associated with more systemic and local adverse effects compared to placebo, but these were not severe or life-threatening.",rephrase,"['Injected cholera vaccines had more systemic and local adverse effects than placebo, but these adverse effects were relatively well tolerated and were not severe or life-threatening.']",3,0.7,4,10
CD000996,0,0,"The review included seven studies, involving 380 adults.",rephrase,['The participants included in the seven studies were 380 adults who had bronchiectasis diagnosed by symptoms or from a detailed lung scan (computed tomography (CT)).'],0,0.0833333333333333,1,12
